Zach	Campbell	<zaccampbell@uoregon.edu>
Idina	Thomas	<idithomas@uoregon.edu>
Kaley	Allen	<kalallen@uoregon.edu>
Ansel	Adams	<ansadams@uoregon.edu>
Joe	Chen	<joechen@uoregon.edu>
Ezekeial	Jackson	<ezejackson@uoregon.edu>
IraMae	Nelson	<iranelson@uoregon.edu>
Zooey	Rodriguez	<zoorodriguez@uoregon.edu>
Haowie	Rivera	<haorivera@uoregon.edu>
Marion	Lieng	<marlieng@uoregon.edu>
Idina	Thomas	<idithomas@uoregon.edu>
Kim	Pham	<kimpham@uoregon.edu>
Sade	Robinson	<sadrobinson@uoregon.edu>
Rihanna	Lewis	<rihlewis@uoregon.edu>
Rihanna	Lewis	<rihlewis@uoregon.edu>
Rihanna	Lewis	<rihlewis@uoregon.edu>
Rihanna	Lewis	<rihlewis@uoregon.edu>
Rihanna	Lewis	<rihlewis@uoregon.edu>
Rihanna	Lewis	<rihlewis@uoregon.edu>
Rihanna	Lewis	<rihlewis@uoregon.edu>
Rihanna	Lewis	<rihlewis@uoregon.edu>
Rihanna	Lewis	<rihlewis@uoregon.edu>
Rihanna	Lewis	<rihlewis@uoregon.edu>
Rihanna	Lewis	<rihlewis@uoregon.edu>
Rihanna	Lewis	<rihlewis@uoregon.edu>
Rihanna	Lewis	<rihlewis@uoregon.edu>
Rihanna	Lewis	<rihlewis@uoregon.edu>
Rihanna	Lewis	<rihlewis@uoregon.edu>
Rihanna	Lewis	<rihlewis@uoregon.edu>
Rihanna	Lewis	<rihlewis@uoregon.edu>
Lillian	Carter	<lilcarter@uoregon.edu>
Lillian	Carter	<lilcarter@uoregon.edu>
Haowie	Rivera	<haorivera@uoregon.edu>
Haowie	Rivera	<haorivera@uoregon.edu>
Haowie	Rivera	<haorivera@uoregon.edu>
